status,now_L,now_R,X0,X1,X2,X3,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7
straight,0,0,125,375,226,361,-1,641,-1,641,-1,481,217,241
straight,0,0,124,375,226,361,-1,641,-1,641,-1,481,218,241
straight,0,0,124,375,302,361,-1,641,-1,641,-1,444,217,241
straight,0,0,124,375,226,361,-1,641,-1,641,-1,445,219,241
straight,0,0,124,375,225,361,-1,641,-1,641,-1,481,217,240
straight,0,0,124,375,226,361,-1,641,-1,641,-1,481,218,241
straight,0,0,124,375,291,361,-1,641,-1,641,-1,481,218,240
straight,0,0,124,375,290,361,-1,641,-1,641,-1,444,218,241
straight,0,0,123,375,302,361,-1,641,-1,641,-1,481,218,240
straight,0,0,124,375,226,361,-1,641,-1,641,-1,445,218,240
straight,0,0,124,375,226,361,-1,641,-1,641,-1,444,219,240
straight,0,0,124,375,226,361,-1,641,-1,641,-1,481,219,240
straight,0,0,124,375,294,361,-1,641,-1,641,-1,445,217,240
straight,0,0,124,375,302,361,-1,641,-1,407,-1,481,218,261
straight,0,0,124,375,226,361,-1,641,-1,641,-1,444,218,240
straight,0,0,124,375,226,361,-1,641,-1,407,-1,481,218,240
straight,0,0,124,375,226,361,-1,641,-1,641,-1,481,219,240
straight,0,0,124,375,226,361,-1,641,-1,641,-1,481,217,240
straight,0,0,124,375,226,361,-1,641,-1,641,-1,481,217,240
straight,0,0,124,375,226,361,-1,641,-1,641,-1,481,217,240
straight,0,0,125,375,302,361,-1,641,-1,641,-1,481,218,240
straight,0,0,125,375,226,361,-1,641,-1,641,-1,444,217,240
straight,0,0,125,375,287,361,-1,641,-1,641,-1,445,219,240
straight,0,0,124,375,226,361,-1,641,-1,641,-1,481,218,250
straight,0,0,123,375,302,361,-1,641,-1,641,-1,481,219,240
straight,0,0,122,375,295,361,-1,641,-1,641,-1,446,219,240
straight,0,0,123,375,226,361,-1,641,-1,641,-1,481,219,250
straight,0,0,124,375,294,361,-1,641,-1,641,-1,444,219,246
straight,0,0,128,375,295,361,-1,641,-1,641,-1,444,219,249
straight,0,0,127,375,226,361,-1,641,-1,641,-1,481,219,250
straight,0,0,127,375,226,361,-1,641,-1,641,-1,445,219,248
straight,0,0,154,375,226,361,-1,641,-1,641,-1,481,239,249
straight,0,0,154,375,226,361,-1,641,-1,641,-1,445,219,250
straight,0,0,154,375,288,361,-1,641,-1,641,-1,481,220,248
straight,0,0,128,375,302,361,-1,641,-1,641,-1,444,219,481
straight,0,0,129,375,226,361,-1,641,-1,641,-1,445,219,245
